K_eff is 1.00015
Position,Flux 
14.4297,0.118604
14.4464,0.116032
14.463,0.113337
14.4796,0.110535
14.4962,0.10863
14.5128,0.104454
14.5294,0.101886
14.546,0.100095
14.5626,0.0968123
14.5792,0.0939426
14.5958,0.090929
14.6124,0.0897519
14.629,0.088239
14.6456,0.0849837
14.6622,0.0840435
14.6788,0.0822184
14.6954,0.0785649
14.712,0.0764023
14.7286,0.0762159
14.7452,0.0735172
14.7618,0.0725072
14.7785,0.0709211
14.7951,0.0692869
14.8117,0.0667138
14.8283,0.0655573
14.8449,0.0644291
14.8615,0.0629903
14.8781,0.0611488
14.8947,0.0601075
14.9113,0.0592163
14.9279,0.0578693
14.9445,0.0564345
14.9611,0.0543091
14.9777,0.0527244
14.9943,0.0516352
15.0109,0.0504643
15.0275,0.0488169
15.0441,0.047068
15.0607,0.0471229
15.0773,0.0459738
15.0939,0.0450825
15.1106,0.0436298
15.1272,0.04305
15.1438,0.0422692
15.1604,0.0412774
15.177,0.0418185
15.1936,0.0399328
15.2102,0.0392043
15.2268,0.0380747
15.2434,0.0373706
15.26,0.0368463
15.2766,0.0357409
15.2932,0.035034
15.3098,0.034822
15.3264,0.0342586
15.343,0.0340981
15.3596,0.0324416
15.3762,0.0315358
15.3928,0.0304991
15.4094,0.0301971
15.426,0.0289755
15.4427,0.0274003
15.4593,0.0265762
15.4759,0.0263293
15.4925,0.0254537
15.5091,0.0246613
15.5257,0.0247336
15.5423,0.0241714
15.5589,0.023926
15.5755,0.0238514
15.5921,0.0234199
15.6087,0.0232263
15.6253,0.0224237
15.6419,0.0216371
15.6585,0.0210635
15.6751,0.0210746
15.6917,0.021052
15.7083,0.0206121
15.7249,0.0196322
15.7415,0.0198519
15.7581,0.0193724
15.7748,0.0185152
15.7914,0.0182715
15.808,0.0180743
15.8246,0.0179683
15.8412,0.0178658
15.8578,0.0169212
15.8744,0.0168065
15.891,0.0164567
15.9076,0.0166233
15.9242,0.0161912
15.9408,0.0152757
15.9574,0.0150167
15.974,0.0152938
15.9906,0.0144488
16.0072,0.0142847
16.0238,0.0140422
16.0404,0.0138209
16.057,0.0133878
16.0736,0.0127819
16.0902,0.0131864
16.1069,0.0123183
16.1235,0.012063
16.1401,0.011945
16.1567,0.0114138
16.1733,0.010845
16.1899,0.0107155
16.2065,0.0102307
16.2231,0.00991217
16.2397,0.00979673
16.2563,0.00908244
16.2729,0.00884632
16.2895,0.00887704
16.3061,0.00878966
16.3227,0.00869324
16.3393,0.00829342
16.3559,0.00812692
16.3725,0.00804024
16.3891,0.00761051
16.4057,0.00720859
16.4223,0.00731813
16.439,0.00687434
16.4556,0.00687214
16.4722,0.00690343
16.4888,0.0064233
16.5054,0.00640712
16.522,0.00563356
16.5386,0.00549984
16.5552,0.00516925
16.5718,0.00493536
16.5884,0.00464647
16.605,0
